,timestamp,open,high,low,Close,Volume,VolumeUSD,Rsi,BBup,BBmid,BBlow,minterm,mintermr,maxterm,maxtermr,DivergenceSignal,Signal2
20,1717488000000,69215.52,69567.0,69171.2,69436.83,163.33044,11333541.63348541,35.14959875725666,72214.81893448991,70221.71785714287,68228.61677979582,False,False,True,True,1.0,0
22,1717480800000,69334.8,69567.0,69171.2,69444.44,133.799086,9273670.98980878,37.20342654412778,71875.16273723764,69961.57642857144,68047.99011990524,False,False,True,True,1.0,0
26,1717466400000,69171.2,69550.02,69171.2,69522.35,75.68528,5256088.95768855,41.21161629660398,70679.96032308589,69444.94785714286,68209.93539119983,False,False,True,True,-1.0,0
32,1717444800000,69700.0,70031.4,69607.76,69878.92,81.852423,5710991.16007809,50.692743114571485,69787.97433473701,69327.7157142857,68867.4570938344,False,False,True,True,0.0,0
34,1717437600000,69888.35,70034.94,69661.68,70000.0,184.553044,12893300.12857959,52.7521803804129,69934.01023099666,69432.74785714285,68931.48548328904,False,False,True,True,0.0,0
39,1717419600000,68409.18,69373.32,68173.8,69102.6,1912.456368,131864863.79813196,39.191498257318386,70119.5423449178,69502.82285714285,68886.10336936789,False,False,True,True,0.0,0
44,1717401600000,67536.94,68081.8,67272.04,68003.61,336.959063,22820278.97806767,30.870106275677962,70657.37774347843,69041.27142857142,67425.1651136644,False,False,True,True,0.0,0
48,1717387200000,67477.2,67852.8,67477.2,67775.25,100.431426,6791214.87530146,31.951805501203328,70088.33572396252,68447.95785714286,66807.5799903232,False,False,True,True,0.0,0
51,1717376400000,67572.33,67775.25,67489.28,67664.61,61.100056,4132376.84074344,33.372787579284825,68983.63427136351,67981.05214285715,66978.4700143508,False,False,True,True,0.0,0
53,1717369200000,67489.28,67852.8,67489.28,67852.8,68.715592,4649228.8371217,38.894980589325165,68272.30423781744,67787.72,67303.13576218256,False,False,True,True,0.0,0
57,1717354800000,67563.94,67863.92,67563.94,67610.34,68.033748,4610259.38415253,37.07662763300909,67935.18546318632,67649.96,67364.73453681369,False,False,True,True,0.0,0
60,1717344000000,67775.25,67852.8,67563.94,67852.8,53.819025,3640760.48692688,43.94863580431551,67874.33676222096,67639.89214285715,67405.44752349333,False,False,True,True,0.0,0
63,1717333200000,67554.68,67775.25,67477.2,67775.25,92.64931,6264109.79152225,44.06847606523757,67880.1763969957,67650.99714285716,67421.81788871862,False,False,True,True,0.0,0
65,1717326000000,67563.94,67646.04,67293.44,67646.04,99.015965,6686224.71082383,42.384563539858796,67879.11047094117,67649.0092857143,67418.90810048743,False,False,True,True,0.0,0
71,1717304400000,67582.73,67941.6,67477.2,67871.56,315.223607,21360353.85800766,51.15792056642759,67938.85253891912,67617.57000000002,67296.28746108092,False,False,True,True,0.0,0
73,1717297200000,67610.34,67863.92,67477.2,67863.92,280.745461,19001809.11816304,51.16315747997447,67974.67349115826,67631.37928571431,67288.08508027036,False,False,True,True,0.0,0
76,1717286400000,68081.8,68142.6,67709.4,68141.0,257.491963,17504022.27956507,56.15555365253905,68087.57246473712,67661.07571428573,67234.57896383434,False,False,True,True,0.0,0
79,1717275600000,66803.7,68081.8,66714.86,68081.8,1406.831978,94949953.32837826,54.40111829618698,68249.62424563667,67735.39214285718,67221.16004007768,False,False,True,True,0.0,0
88,1717243200000,64665.16,66084.0,63506.32,65619.6,5045.855015,325839008.90570706,38.163333634194665,69221.16752922972,66408.12357142862,63595.07961362752,False,False,True,True,0.0,0
